Fastq,Fasta,BAM,Sample name,Sample Description,Bed Number,Strata,Sample Time Point,Sample Day,Sample Type,Field Location,Location,Round,Replicate,Total reads,PicoGreen,NanoDrop
Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1054.fastq,414-16S_For_bc1005-16S_Rev_bc1054.fasta,Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1054.bam,UI00414,Produce sides,Bed 7,,Preharvest,Day 2,Produce,Center,Sides,,,25934,61.3,59.4
Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1059.fastq,217-16S_For_bc1022-16S_Rev_bc1059.fasta,Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1059.bam,UI00217,Produce sides,,Exterior,Post Harvest,Day 2,Produce,,Produce sides,1,1,25740,28.8,24.6
Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1059.fastq,216-16S_For_bc1024-16S_Rev_bc1059.fasta,Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1059.bam,UI00216,Produce sides,,Exterior,Post Harvest,Day 2,Produce,,Produce sides,1,2,28564,355.5,280.6
Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1060.fastq,206-16S_For_bc1020-16S_Rev_bc1060.fasta,Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1060.bam,UI00206,Produce sides,,Exterior,Post Harvest,Day 2,Produce,,Produce sides,3,2,30160,723.7,478.1
Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1060.fastq,207-16S_For_bc1022-16S_Rev_bc1060.fasta,Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1060.bam,UI00207,Produce sides,,Exterior,Post Harvest,Day 2,Produce,,Produce sides,3,1,34667,713.1,404.7
Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1062.fastq,401-16S_For_bc1015-16S_Rev_bc1062.fasta,Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1062.bam,UI00401,Produce sides,,Exterior,Post Harvest,Day 1,Produce,,Produce sides,5,1,26725,143.7,74.4
Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1035.fastq,112-16S_For_bc1022-16S_Rev_bc1035.fasta,Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1035.bam,UI00112,Produce sides HR,Bed 1,6,Preharvest,Day 1,Produce High Resolution,Bed 1 Edge,Sides,,,19816,16.6,15.6
Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1035.fastq,126-16S_For_bc1024-16S_Rev_bc1035.fasta,Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1035.bam,UI00126,Produce sides HR,Edge,1,Preharvest,Day 1,Produce High Resolution,Edge,Sides,,,20145,66.6,51.4
Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1044.fastq,131-16S_For_bc1005-16S_Rev_bc1044.fasta,Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1044.bam,UI00131,Produce sides HR,Edge,3,Preharvest,Day 1,Produce High Resolution,Edge,Sides,,,22114,21.1,18.1
Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1044.fastq,134-16S_For_bc1007-16S_Rev_bc1044.fasta,Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1044.bam,UI00134,Produce sides HR,Edge,6,Preharvest,Day 1,Produce High Resolution,Edge,Sides,,,21603,11.2,NA
Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1044.fastq,79-16S_For_bc1008-16S_Rev_bc1044.fasta,Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1044.bam,UI00079,Produce sides HR,Bed 8,6,Preharvest,Day 1,Produce High Resolution,Center,Sides,,,24529,16.3,NA
Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1054.fastq,435-16S_For_bc1012-16S_Rev_bc1054.fasta,Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1054.bam,UI00435,Produce sides HR,Bed 1,6,Preharvest,Day 2,Produce High Resolution,Bed 1 Edge,Sides,,,23800,43.5,43.1
Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1054.fastq,447-16S_For_bc1015-16S_Rev_bc1054.fasta,Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1054.bam,UI00447,Produce sides HR,Edge,1,Preharvest,Day 2,Produce High Resolution,Edge,Sides,,,25335,22.9,NA
Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1054.fastq,444-16S_For_bc1020-16S_Rev_bc1054.fasta,Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1054.bam,UI00444,Produce sides HR,Edge,4,Preharvest,Day 2,Produce High Resolution,Edge,Sides,,,23929,26.1,23.1
Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1054.fastq,451-16S_For_bc1022-16S_Rev_bc1054.fasta,Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1054.bam,UI00451,Produce sides HR,Edge,6,Preharvest,Day 2,Produce High Resolution,Edge,Sides,,,24778,35.7,37.7
Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1054.fastq,423-16S_For_bc1024-16S_Rev_bc1054.fasta,Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1054.bam,UI00423,Produce sides HR,Bed 8,6,Preharvest,Day 2,Produce High Resolution,Center,Sides,,,24105,44.1,42.7
